CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,BalanceSalaryRatio,TenureAgeRatio,IsSenior,CreditScoreBucket,ProductsPerBalance,IsLowCredit,HighBalance,AgeBucket
756,Germany,Male,36,2,136815.64,1,1,1,170041.95,0,0.8045993356297984,0.05555555401234573,0,excellent,7.3090524661327735e-06,0,1,"(30, 45]"
571,France,Male,44,9,0.0,2,0,0,38433.35,0,0.0,0.20454544989669432,0,medium,2.0,1,0,"(30, 45]"
574,Germany,Female,43,3,141349.43,1,1,1,100187.43,0,1.4108499439359725,0.06976744023796651,0,medium,7.074615903184731e-06,1,1,"(30, 45]"
411,France,Male,29,0,59697.17,2,1,1,53483.21,0,1.1161852476484455,0.0,0,low,3.3501864462512e-05,1,0,"(0, 30]"
591,Spain,Female,39,3,0.0,3,1,0,140469.38,1,0.0,0.0769230749506904,0,medium,3.0,1,0,"(30, 45]"
533,France,Male,36,7,85311.7,1,0,1,156731.91,0,0.5443160872566134,0.19444443904321004,0,medium,1.1721584242439872e-05,1,0,"(30, 45]"
553,Germany,Male,41,9,110112.54,2,0,0,81898.81,0,1.3444949932563797,0.21951218976799539,0,medium,1.8163070590592222e-05,1,1,"(30, 45]"
520,Spain,Female,42,6,0.0,2,1,1,34410.55,0,0.0,0.1428571394557824,0,medium,2.0,1,0,"(30, 45]"
722,Spain,Female,29,9,0.0,2,1,1,142033.07,0,0.0,0.3103448168846615,0,good,2.0,0,0,"(0, 30]"
475,France,Female,45,0,134264.04,1,1,0,27822.99,1,4.825651017204634,0.0,1,low,7.44795517880157e-06,1,1,"(30, 45]"
490,Spain,Male,31,3,145260.23,1,0,1,114066.77,0,1.273466672184428,0.09677419042663901,0,low,6.88414933564861e-06,1,1,"(30, 45]"
804,Spain,Male,33,7,76548.6,1,0,1,98453.45,0,0.7775105900222136,0.21212120569329682,0,excellent,1.306342554369977e-05,0,0,"(30, 45]"
850,France,Male,36,7,0.0,1,1,1,40812.9,0,0.0,0.19444443904321004,0,excellent,1.0,0,0,"(30, 45]"
582,Germany,Male,41,6,70349.48,2,0,1,178074.04,0,0.3950574715977968,0.14634145984533026,0,medium,2.8429088188168724e-05,1,0,"(30, 45]"
472,Spain,Male,40,4,0.0,1,1,0,70154.22,0,0.0,0.09999999750000006,0,low,1.0,1,0,"(30, 45]"
465,France,Female,51,8,122522.32,1,0,0,181297.65,1,0.6758075463158193,0.1568627420222992,1,low,8.161711582741963e-06,1,1,"(45, 60]"
556,France,Female,61,2,117419.35,1,1,1,94153.83,0,1.2471011534926717,0.03278688470841173,1,medium,8.516411337557756e-06,1,1,"(60, 100]"
834,France,Female,49,2,131394.56,1,0,0,194365.76,1,0.6760170104000003,0.040816325697626006,1,excellent,7.610607238174562e-06,0,1,"(45, 60]"
660,Spain,Female,61,5,155931.11,1,1,1,158338.39,0,0.984796611857776,0.08196721177102932,1,good,6.413047319118558e-06,0,1,"(60, 100]"
776,Germany,Female,32,4,109421.13,2,1,1,126517.46,0,0.8648697974108486,0.12499999609375013,0,excellent,1.8277838312962835e-05,0,1,"(30, 45]"
829,Germany,Female,27,9,112045.67,1,1,1,119708.21,1,0.9359898539879931,0.3333333209876548,0,excellent,8.924852474419812e-06,0,1,"(0, 30]"
637,Germany,Female,39,9,137843.8,1,1,1,117622.8,1,1.1719139486462495,0.2307692248520712,0,medium,7.254535535616868e-06,0,1,"(30, 45]"
550,Germany,Male,38,2,103391.38,1,0,1,90878.13,0,1.1376926439712427,0.05263157756232691,0,medium,9.671892648181617e-06,1,1,"(30, 45]"
776,Germany,Female,37,2,103769.22,2,1,0,194099.12,0,0.5346197344916627,0.054054052593133714,0,excellent,1.927335221993362e-05,0,1,"(30, 45]"
698,Germany,Male,44,10,116363.37,2,1,0,198059.16,0,0.5875182445457835,0.22727272210743815,0,good,1.7187391638866777e-05,0,1,"(30, 45]"
585,Germany,Male,36,5,146050.97,2,0,0,86424.57,0,1.6899241731640675,0.1388888850308643,0,medium,1.3693755722706103e-05,1,1,"(30, 45]"
788,France,Female,33,5,0.0,2,0,0,116978.19,0,0.0,0.15151514692378343,0,excellent,2.0,0,0,"(30, 45]"
655,Germany,Male,41,8,125561.97,1,0,0,164040.94,1,0.7654306906509715,0.19512194646044034,0,good,7.964131463280934e-06,0,1,"(30, 45]"
601,Germany,Male,42,1,98495.72,1,1,0,40014.76,1,2.4614847120797054,0.0238095232426304,0,medium,1.0152622341129735e-05,0,0,"(30, 45]"
619,France,Male,43,1,125211.92,1,1,1,113410.49,0,1.104059421653993,0.023255813412655504,0,medium,7.986396292012038e-06,0,1,"(30, 45]"
656,France,Male,45,5,127864.4,1,1,0,87107.57,0,1.4678907929417857,0.11111110864197538,1,good,7.820723980060282e-06,0,1,"(30, 45]"
725,Germany,Male,19,0,75888.2,1,0,0,45613.75,0,1.6637132443251494,0.0,0,good,1.3177105569698983e-05,0,0,"(0, 30]"
511,Spain,Female,66,4,0.0,1,1,0,1643.11,1,0.0,0.06060605968778698,1,medium,1.0,1,0,"(60, 100]"
614,France,Male,51,4,40685.92,1,1,1,46775.28,0,0.8698167065836951,0.0784313710111496,1,medium,2.4577923322777934e-05,0,0,"(45, 60]"
742,Germany,Male,35,5,136857.0,1,0,0,84509.57,0,1.6194260602483312,0.14285713877551032,0,good,7.3068435897061185e-06,0,1,"(30, 45]"
687,Germany,Female,27,9,152328.88,2,0,0,126494.82,0,1.2042301811156835,0.3333333209876548,0,good,1.3129400482689279e-05,0,1,"(0, 30]"
555,Spain,Male,33,1,56084.69,2,0,0,178798.13,0,0.3136760434781187,0.030303029384756687,0,medium,3.565971997491695e-05,1,0,"(30, 45]"
684,Spain,Male,56,8,78707.16,1,1,1,99398.36,0,0.7918355996940812,0.1428571403061225,1,good,1.2705162971666469e-05,0,0,"(45, 60]"
603,Germany,Male,26,4,109166.37,1,1,1,92840.67,0,1.1758464259125248,0.15384614792899431,0,medium,9.160246326351913e-06,0,1,"(0, 30]"
751,Germany,Female,36,6,169831.46,2,1,1,27758.36,0,6.118209432901719,0.16666666203703717,0,excellent,1.1776311783978164e-05,0,1,"(30, 45]"
581,Germany,Female,34,1,101633.04,1,1,0,110431.51,0,0.920326453917724,0.02941176384083048,0,medium,9.83922315791048e-06,1,1,"(30, 45]"
735,Germany,Male,43,10,123180.01,2,1,1,196673.28,0,0.6263179726263459,0.23255813412655504,0,good,1.6236268885926493e-05,0,1,"(30, 45]"
661,Germany,Female,35,5,150725.53,2,0,1,113656.85,0,1.3261455864620026,0.14285713877551032,0,good,1.3269064178681749e-05,0,1,"(30, 45]"
675,France,Female,21,8,98373.26,1,1,0,18203.0,0,5.404233367829246,0.38095236281179223,0,good,1.0165260709457942e-05,0,0,"(0, 30]"
738,Germany,Male,58,2,133745.44,4,1,0,28373.86,1,4.7136850606609855,0.03448275802615935,1,good,2.9907338094382176e-05,0,1,"(45, 60]"
813,France,Male,29,6,0.0,1,1,0,33953.87,0,0.0,0.20689654458977433,0,excellent,1.0,0,0,"(0, 30]"
657,Spain,Female,37,0,163607.18,1,0,1,44203.55,0,3.701222639274419,0.0,0,good,6.112163829461339e-06,0,1,"(30, 45]"
604,Germany,Female,25,5,157780.84,2,1,1,58426.81,0,2.700486985294927,0.19999999200000032,0,medium,1.267572998261397e-05,0,1,"(0, 30]"
519,France,Male,36,9,0.0,2,0,1,145562.4,0,0.0,0.24999999305555576,0,medium,2.0,1,0,"(30, 45]"
735,France,Female,21,1,178718.19,2,1,0,22388.0,0,7.982767107022388,0.04761904535147403,0,good,1.1190740065462473e-05,0,1,"(0, 30]"
664,France,Male,55,8,0.0,2,1,1,139161.64,0,0.0,0.1454545428099174,1,good,2.0,0,0,"(45, 60]"
678,France,Female,32,9,0.0,1,1,1,148210.64,0,0.0,0.2812499912109378,0,good,1.0,0,0,"(30, 45]"
757,Spain,Male,33,5,77253.22,1,0,1,194239.63,0,0.39772120653031656,0.15151514692378343,0,excellent,1.2944276701000928e-05,0,0,"(30, 45]"
416,Germany,Female,41,10,122189.66,2,1,0,98301.61,0,1.2430077187826019,0.24390243307555043,0,low,1.6367863141094417e-05,1,1,"(30, 45]"
665,France,Female,34,1,96645.54,2,0,0,171413.66,0,0.563814692478045,0.02941176384083048,0,good,2.0693963798393613e-05,0,0,"(30, 45]"
777,France,Female,32,2,0.0,1,1,0,136458.19,1,0.0,0.06249999804687507,0,excellent,1.0,0,0,"(30, 45]"
543,France,Female,36,3,0.0,2,0,0,26019.59,0,0.0,0.08333333101851859,0,medium,2.0,1,0,"(30, 45]"
506,France,Female,34,4,90307.62,1,1,1,159235.29,0,0.5671332026929009,0.11764705536332191,0,medium,1.107314008341618e-05,1,0,"(30, 45]"
493,France,Female,46,4,0.0,2,1,0,1907.66,0,0.0,0.08695651984877131,1,low,2.0,1,0,"(45, 60]"
652,Spain,Female,75,10,0.0,2,1,1,114675.75,0,0.0,0.13333333155555557,1,good,2.0,0,0,"(60, 100]"
750,Spain,Male,22,3,121681.82,1,1,0,128643.35,1,0.9458850379677933,0.13636363016528952,0,good,8.218086990423133e-06,0,1,"(0, 30]"
729,France,Male,30,9,0.0,2,1,0,151869.35,0,0.0,0.2999999900000003,0,good,2.0,0,0,"(0, 30]"
646,France,Female,46,4,0.0,3,1,0,93251.42,1,0.0,0.08695651984877131,1,medium,3.0,0,0,"(45, 60]"
635,Germany,Female,28,3,81623.67,2,1,1,156791.36,0,0.5205878053451377,0.10714285331632667,0,medium,2.4502396150575556e-05,0,0,"(0, 30]"
647,Spain,Female,44,5,0.0,3,1,1,174205.22,1,0.0,0.11363636105371908,0,medium,3.0,0,0,"(30, 45]"
808,France,Male,45,7,118626.55,2,1,0,147132.46,0,0.8062568246272356,0.1555555520987655,1,excellent,1.6859490059433916e-05,0,1,"(30, 45]"
524,France,Female,36,10,0.0,2,1,0,109614.57,0,0.0,0.2777777700617286,0,medium,2.0,1,0,"(30, 45]"
769,France,Male,29,8,0.0,2,1,1,172290.61,0,0.0,0.27586205945303244,0,excellent,2.0,0,0,"(0, 30]"
730,Spain,Male,42,4,0.0,2,0,1,85982.47,0,0.0,0.0952380929705216,0,good,2.0,0,0,"(30, 45]"
515,Spain,Male,35,10,176273.95,1,0,1,121277.78,0,1.4534727630943323,0.28571427755102063,0,medium,5.672955800015827e-06,1,1,"(30, 45]"
773,Spain,Male,41,9,102827.44,1,0,1,64595.25,0,1.591873086618724,0.21951218976799539,0,excellent,9.724936019645927e-06,0,1,"(30, 45]"
814,Germany,Male,29,8,97086.4,2,1,1,197276.13,0,0.4921345527181005,0.27586205945303244,0,excellent,2.0599995468001e-05,0,0,"(0, 30]"
710,Spain,Male,22,8,0.0,2,0,0,99645.04,0,0.0,0.36363634710743875,0,good,2.0,0,0,"(0, 30]"
413,France,Male,34,9,0.0,2,0,0,6534.18,0,0.0,0.2647058745674743,0,low,2.0,1,0,"(30, 45]"
665,France,Female,40,6,0.0,1,1,1,161848.03,0,0.0,0.1499999962500001,0,good,1.0,0,0,"(30, 45]"
623,France,Female,44,6,0.0,2,0,0,167162.43,0,0.0,0.13636363326446288,0,medium,2.0,0,0,"(30, 45]"
738,France,Male,31,9,82674.15,1,1,0,41970.72,0,1.969805378559867,0.29032257127991706,0,good,1.209553293825291e-05,0,0,"(30, 45]"
528,Spain,Male,36,7,0.0,2,1,0,60536.56,0,0.0,0.19444443904321004,0,medium,2.0,1,0,"(30, 45]"
670,Spain,Female,65,1,0.0,1,1,1,177655.68,1,0.0,0.015384615147928998,1,good,1.0,0,0,"(60, 100]"
622,Spain,Female,46,4,107073.27,2,1,1,30984.59,1,3.455694265973644,0.08695651984877131,1,medium,1.867862372538239e-05,0,1,"(45, 60]"
582,Germany,Male,32,1,88938.62,1,1,1,10054.53,0,8.84562679619578,0.031249999023437534,0,medium,1.1243583006088851e-05,1,0,"(30, 45]"
785,Germany,Female,36,2,99806.85,1,0,1,36976.52,0,2.6991953271238294,0.05555555401234573,0,excellent,1.001925199270398e-05,0,0,"(30, 45]"
605,Spain,Male,33,5,150092.8,1,0,0,71862.79,0,2.088602460298458,0.15151514692378343,0,medium,6.662500383093773e-06,0,1,"(30, 45]"
479,Germany,Male,35,9,92833.89,1,1,0,99449.86,1,0.9334743155904547,0.2571428497959186,0,low,1.0771812192592677e-05,1,0,"(30, 45]"
685,Germany,Male,30,3,90536.81,1,0,1,63082.88,0,1.435204131430981,0.09999999666666677,0,good,1.104510922011478e-05,0,0,"(0, 30]"
538,Germany,Male,39,7,108055.1,2,1,0,27231.26,0,3.9680536264584143,0.17948717488494426,0,medium,1.85089041710741e-05,1,1,"(30, 45]"
562,France,Male,42,2,100238.35,1,0,0,86797.41,0,1.154854159805519,0.0476190464852608,0,medium,9.976122151630073e-06,1,1,"(30, 45]"
675,Spain,Male,36,9,106190.55,1,0,1,22994.32,0,4.618120909658641,0.24999999305555576,0,good,9.41694513358172e-06,0,1,"(30, 45]"
721,Germany,Male,28,9,154475.54,2,0,1,101300.94,1,1.524917142905832,0.32142855994898,0,good,1.2946949743954647e-05,0,1,"(0, 30]"
628,Germany,Female,30,9,132351.29,2,1,1,74169.13,0,1.7844525073735604,0.2999999900000003,0,medium,1.5111185458143564e-05,0,1,"(0, 30]"
668,Germany,Female,37,6,167864.4,1,1,0,115638.29,0,1.4516333646800585,0.16216215777940116,0,good,5.957153767244471e-06,0,1,"(30, 45]"
506,France,Female,41,1,0.0,2,1,0,31766.3,0,0.0,0.024390243307555043,0,medium,2.0,1,0,"(30, 45]"
524,Germany,Female,31,8,107818.63,1,1,0,199725.39,1,0.5398343695784504,0.2580645078043707,0,medium,9.274748948776767e-06,1,1,"(30, 45]"
699,Germany,Male,34,4,185173.81,2,1,0,120834.48,0,1.5324583678306685,0.11764705536332191,0,good,1.0800605114702156e-05,0,1,"(30, 45]"
828,France,Male,34,8,129433.34,2,0,0,38131.77,0,3.3943701012726564,0.23529411072664383,0,excellent,1.5451849949557436e-05,0,1,"(30, 45]"
674,Spain,Male,39,6,120193.42,1,0,0,100130.95,0,1.2003623255227245,0.1538461499013808,0,good,8.319853783561666e-06,0,1,"(30, 45]"
656,France,Female,39,6,0.0,2,1,0,141069.88,0,0.0,0.1538461499013808,0,good,2.0,0,0,"(30, 45]"
684,Germany,Female,48,10,126384.42,1,1,1,198129.36,0,0.6378883977587275,0.20833332899305565,1,good,7.912305074430263e-06,0,1,"(45, 60]"
625,France,Female,28,3,0.0,1,0,0,183646.41,0,0.0,0.10714285331632667,0,medium,1.0,0,0,"(0, 30]"
432,France,Male,42,9,152603.45,1,1,0,110265.24,1,1.3839669690885001,0.2142857091836736,0,low,6.552888857435022e-06,1,1,"(30, 45]"
549,France,Female,52,1,0.0,1,0,1,8636.05,1,0.0,0.019230768860946754,1,medium,1.0,1,0,"(45, 60]"
625,Germany,Male,56,0,148507.24,1,1,0,46824.08,1,3.1715997409202354,0.0,1,medium,6.7336330967224446e-06,0,1,"(45, 60]"
828,France,Female,41,7,0.0,2,1,0,171378.77,0,0.0,0.1707317031528853,0,excellent,2.0,0,0,"(30, 45]"
770,France,Male,24,9,101827.07,1,1,0,167256.35,0,0.6088083950139483,0.37499998437500065,0,excellent,9.820474845492014e-06,0,1,"(0, 30]"
758,France,Female,34,3,0.0,2,1,1,124226.16,0,0.0,0.08823529152249143,0,excellent,2.0,0,0,"(30, 45]"
795,Germany,Female,33,9,130862.43,1,1,1,114935.21,0,1.138575637516662,0.2727272644628102,0,excellent,7.641554252398856e-06,0,1,"(30, 45]"
687,France,Male,38,9,122570.87,1,1,1,35608.88,0,3.4421433641428165,0.2368420990304711,0,good,8.158478776574104e-06,0,1,"(30, 45]"
686,France,Male,25,1,0.0,2,0,1,16459.37,0,0.0,0.03999999840000006,0,good,2.0,0,0,"(0, 30]"
789,Germany,Male,39,7,124828.46,2,1,1,124411.08,0,1.003354845878652,0.17948717488494426,0,excellent,1.6021858942592557e-05,0,1,"(30, 45]"
589,Germany,Female,50,5,144895.05,2,1,1,34941.23,0,4.146821677309389,0.09999999800000005,1,medium,1.3802998770497885e-05,1,1,"(45, 60]"
461,Germany,Female,34,5,63663.93,1,0,1,167784.28,0,0.3794391822620126,0.1470588192041524,0,low,1.570723473661245e-05,1,0,"(30, 45]"
637,France,Male,40,2,133463.1,1,0,1,93165.34,0,1.4325402558351366,0.04999999875000003,0,medium,7.492651581960992e-06,0,1,"(30, 45]"
584,Spain,Female,48,2,213146.2,1,1,0,75161.25,1,2.835852250955967,0.041666665798611134,1,medium,4.691593415254809e-06,1,1,"(45, 60]"
579,Spain,Female,35,1,129490.36,2,0,1,8590.83,1,15.073090724054243,0.028571427755102068,0,medium,1.544504590885446e-05,1,1,"(30, 45]"
756,Germany,Male,44,10,137452.09,1,1,0,189543.9,0,0.7251728491356083,0.22727272210743815,0,excellent,7.2752093095906395e-06,0,1,"(30, 45]"
663,France,Male,34,7,0.0,2,1,1,180427.24,0,0.0,0.20588234688581333,0,good,2.0,0,0,"(30, 45]"
682,France,Female,43,5,125851.93,1,1,1,193318.33,0,0.6510087791434417,0.11627906706327752,0,good,7.945782430333564e-06,0,1,"(30, 45]"
793,Spain,Male,52,2,0.0,1,1,0,159123.82,1,0.0,0.03846153772189351,1,excellent,1.0,0,0,"(45, 60]"
691,France,Female,31,5,40915.55,1,1,0,126213.84,1,0.324176413614195,0.1612903173777317,0,good,2.4439988219925678e-05,0,0,"(30, 45]"
485,Spain,Female,21,5,113157.22,1,1,1,54141.5,0,2.0900274280895426,0.23809522675737013,0,low,8.837183900559765e-06,1,1,"(0, 30]"
635,Spain,Female,29,8,138296.94,2,1,0,141075.51,0,0.9803043774147595,0.27586205945303244,0,medium,1.4461531386512337e-05,0,1,"(0, 30]"
650,France,Male,37,5,106967.18,1,0,0,24495.03,0,4.366893202238703,0.1351351314828343,0,medium,9.348574501314316e-06,0,1,"(30, 45]"
735,France,Male,44,9,120681.63,1,1,0,74836.34,0,1.6126073241741568,0.20454544989669432,0,good,8.286196613381727e-06,0,1,"(30, 45]"
416,France,Male,32,0,0.0,2,0,1,878.87,0,0.0,0.0,0,low,2.0,1,0,"(30, 45]"
754,Spain,Female,32,7,0.0,2,1,0,89520.75,0,0.0,0.21874999316406274,0,excellent,2.0,0,0,"(30, 45]"
535,France,Female,48,9,0.0,1,1,0,149892.79,1,0.0,0.1874999960937501,1,medium,1.0,1,0,"(45, 60]"
716,Spain,Male,42,8,0.0,2,1,0,180800.42,0,0.0,0.1904761859410432,0,good,2.0,0,0,"(30, 45]"
539,France,Male,37,2,127609.59,1,1,0,98646.22,0,1.2936085133186694,0.054054052593133714,0,medium,7.83634022850298e-06,1,1,"(30, 45]"
614,France,Female,43,6,0.0,2,1,1,109041.53,0,0.0,0.13953488047593302,0,medium,2.0,0,0,"(30, 45]"
706,Spain,Male,57,7,0.0,1,1,0,17941.16,1,0.0,0.12280701538935061,1,good,1.0,0,0,"(45, 60]"
758,France,Female,33,7,0.0,2,0,0,82996.47,0,0.0,0.21212120569329682,0,excellent,2.0,0,0,"(30, 45]"
586,Spain,Female,28,2,0.0,2,1,1,92067.35,0,0.0,0.07142856887755111,0,medium,2.0,1,0,"(0, 30]"
646,France,Female,73,6,97259.25,1,0,1,104719.66,0,0.928758267540892,0.08219177969600303,1,medium,1.0281692675065096e-05,0,0,"(60, 100]"
631,Germany,Female,33,4,123246.7,1,0,0,112687.57,0,1.0937027038466292,0.12121211753902675,0,medium,8.113741676315258e-06,0,1,"(30, 45]"
717,Spain,Female,22,6,101060.25,1,0,1,84699.56,0,1.1931614520642946,0.27272726033057904,0,good,9.894989424730052e-06,0,1,"(0, 30]"
684,France,Male,30,2,0.0,2,1,0,83473.82,0,0.0,0.06666666444444451,0,good,2.0,0,0,"(0, 30]"
800,France,Female,49,7,108007.36,1,0,0,47125.11,0,2.291928018793125,0.14285713994169102,1,excellent,9.25854257948181e-06,0,1,"(45, 60]"
721,Spain,Female,36,2,0.0,2,1,1,106977.8,0,0.0,0.05555555401234573,0,good,2.0,0,0,"(30, 45]"
683,Spain,Male,29,0,133702.89,1,1,0,55582.54,1,2.4054836284486916,0.0,0,good,7.479213955555069e-06,0,1,"(0, 30]"
660,Germany,Male,31,9,125189.75,2,1,1,139874.43,0,0.8950152647564318,0.29032257127991706,0,good,1.5975621202045677e-05,0,1,"(30, 45]"
704,Germany,Female,24,7,113034.22,1,1,0,162503.48,1,0.695580303875981,0.2916666545138894,0,good,8.846800138930149e-06,0,1,"(0, 30]"
615,Spain,Female,41,9,109013.23,1,1,0,196499.96,0,0.5547748203075726,0.21951218976799539,0,medium,9.173114372316348e-06,0,1,"(30, 45]"
667,Spain,Female,39,2,0.0,2,1,0,40721.24,1,0.0,0.05128204996712693,0,good,2.0,0,0,"(30, 45]"
682,Germany,Male,24,9,57929.81,2,0,0,53134.3,0,1.090252623990713,0.37499998437500065,0,good,3.452394330408983e-05,0,0,"(0, 30]"
484,France,Female,29,4,130114.39,1,1,0,164017.89,0,0.7932938900702032,0.13793102972651622,0,low,7.685485936751987e-06,1,1,"(0, 30]"
628,Germany,Male,27,5,95826.49,2,1,0,155996.96,0,0.6142843424601718,0.18518517832647488,0,medium,2.08708377940401e-05,0,0,"(0, 30]"
480,Germany,Male,44,10,129608.57,1,1,0,5472.7,1,23.682747085774345,0.22727272210743815,0,low,7.715479651695473e-06,1,1,"(30, 45]"
578,France,Male,30,4,169462.09,1,1,0,112187.11,0,1.5105308443945964,0.13333332888888902,0,medium,5.9009900031918455e-06,1,1,"(0, 30]"
512,France,Male,40,5,0.0,2,1,1,146457.83,0,0.0,0.12499999687500009,0,medium,2.0,1,0,"(30, 45]"
484,Spain,Female,35,7,133868.21,1,1,1,27286.1,0,4.906095411036898,0.19999999428571447,0,low,7.469977599778172e-06,1,1,"(30, 45]"
510,France,Female,30,0,0.0,2,1,1,130553.47,0,0.0,0.0,0,medium,2.0,1,0,"(0, 30]"
606,Germany,Male,36,5,190479.48,2,0,0,179351.89,0,1.0620433383720569,0.1388888850308643,0,medium,1.0499763545324959e-05,0,1,"(30, 45]"
597,Spain,Female,40,8,101993.12,1,0,1,94774.12,0,1.0761705832660207,0.19999999500000012,0,medium,9.804486768452927e-06,1,1,"(30, 45]"
754,Germany,Female,55,3,161608.81,1,1,0,8080.85,1,19.998986490282704,0.05454545355371903,1,excellent,6.187743182174399e-06,0,1,"(45, 60]"
850,Spain,Female,45,2,122311.21,1,1,1,19482.5,0,6.278003849286385,0.04444444345679015,1,excellent,8.175798638582362e-06,0,1,"(30, 45]"
510,France,Male,65,2,0.0,2,1,1,48071.61,0,0.0,0.030769230295857996,1,medium,2.0,1,0,"(60, 100]"
778,Germany,Female,45,1,162150.42,2,1,0,174531.27,0,0.9290622820716938,0.022222221728395074,1,excellent,1.2334150388568905e-05,0,1,"(30, 45]"
636,France,Male,42,2,0.0,2,1,1,55470.78,0,0.0,0.0476190464852608,0,medium,2.0,0,0,"(30, 45]"
804,France,Female,50,4,0.0,1,1,1,8546.87,1,0.0,0.07999999840000004,1,excellent,1.0,0,0,"(45, 60]"
514,France,Male,32,8,0.0,2,1,0,95857.18,0,0.0,0.24999999218750027,0,medium,2.0,1,0,"(30, 45]"
730,France,Female,39,1,99010.67,1,1,0,194945.8,0,0.5078881925103906,0.025641024983563465,0,good,1.0099819546524162e-05,0,0,"(30, 45]"
525,Spain,Female,37,0,0.0,1,0,1,131521.72,0,0.0,0.0,0,medium,1.0,1,0,"(30, 45]"
616,Spain,Male,30,5,0.0,2,0,1,196108.51,0,0.0,0.16666666111111128,0,medium,2.0,0,0,"(0, 30]"
687,Germany,Female,34,7,111388.18,2,1,0,148564.76,0,0.7497617873797946,0.20588234688581333,0,good,1.7955065294492696e-05,0,1,"(30, 45]"
715,France,Female,41,8,56214.85,2,0,0,92982.61,1,0.6045738014817548,0.19512194646044034,0,good,3.557715484156159e-05,0,0,"(30, 45]"
